GENDER,Car_Owner,Propert_Owner,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Employed_days,Family_Members,target
M,N,Y,0.3565217391304348,Commercial associate,Higher education,Civil marriage,House / apartment,-0.4372010331419202,0.0,Rejected
F,N,Y,-0.0782608695652174,Commercial associate,Secondary / secondary special,Married,House / apartment,-0.43602974263026983,2.0,Rejected
F,N,Y,-0.5130434782608696,Working,Higher education,Married,House / apartment,-0.4355132107897283,0.0,Rejected
F,Y,Y,0.1391304347826087,Commercial associate,Higher education,Married,House / apartment,-0.43064617133448535,0.0,Rejected
F,N,Y,-0.5130434782608696,Pensioner,Secondary / secondary special,Married,House / apartment,2.227877736065395,0.0,Rejected
M,N,N,0.20070051866752187,Commercial associate,Higher education,Married,House / apartment,-0.43432737008538663,0.0,Rejected
F,N,Y,0.2320826309823562,Working,Lower secondary,Single / not married,Rented apartment,-0.4640024880793118,0.0,Rejected
F,N,N,-0.7304347826086957,Working,Higher education,Single / not married,House / apartment,-0.4467168591620364,-1.0,Rejected
F,Y,N,-0.5130434782608696,Working,Secondary / secondary special,Married,House / apartment,-0.43209391550727066,1.0,Rejected
M,N,Y,-0.2956521739130435,Working,Secondary / secondary special,Married,House / apartment,-0.4558325548831417,0.0,Rejected
M,Y,N,-0.2956521739130435,State servant,Secondary / secondary special,Single / not married,House / apartment,-0.4405475774609213,0.0,Rejected
M,Y,Y,0.1391304347826087,Working,Higher education,Married,House / apartment,-0.43517855635782826,0.0,Rejected
F,Y,Y,-0.5130434782608696,Pensioner,Secondary / secondary special,Married,House / apartment,2.227877736065395,0.0,Rejected
M,Y,Y,1.2260869565217392,Commercial associate,Secondary / secondary special,Married,House / apartment,-0.4386487773147055,0.0,Rejected
M,Y,Y,-0.8608695652173913,Commercial associate,Higher education,Separated,House / apartment,-0.435520485886074,-1.0,Rejected
F,Y,N,0.4782608695652174,State servant,Higher education,Married,House / apartment,-0.4829104634816682,2.0,Rejected
F,N,Y,2.747826086956522,Pensioner,Secondary / secondary special,Single / not married,House / apartment,2.227877736065395,-1.0,Rejected
F,N,Y,1.008695652173913,Pensioner,Secondary / secondary special,Single / not married,House / apartment,2.227877736065395,-1.0,Rejected
F,N,Y,0.5739130434782609,Pensioner,Secondary / secondary special,Single / not married,House / apartment,2.227877736065395,-1.0,Rejected
F,N,Y,0.5739130434782609,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-0.44580747211882965,1.0,Rejected
F,N,Y,0.5739130434782609,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-0.44580747211882965,1.0,Rejected
F,N,Y,-0.0782608695652174,Commercial associate,Secondary / secondary special,Married,House / apartment,-0.45923002487656245,1.0,Rejected
M,Y,N,-0.0782608695652174,Commercial associate,Secondary / secondary special,Married,House / apartment,-0.43774666536784435,1.0,Rejected
M,Y,N,-0.9478260869565217,Commercial associate,Secondary / secondary special,Married,House / apartment,-0.43774666536784435,1.0,Rejected
M,N,N,0.1391304347826087,Working,Secondary / secondary special,Married,House / apartment,-0.48232118067767027,0.0,Rejected
M,N,N,0.1391304347826087,Working,Secondary / secondary special,Married,House / apartment,-0.48232118067767027,0.0,Rejected
M,N,N,-0.0782608695652174,Commercial associate,Incomplete higher,Single / not married,House / apartment,-0.43050794450391794,-1.0,Rejected
M,Y,N,-0.0782608695652174,Working,Secondary / secondary special,Married,House / apartment,-0.4356005119458762,1.0,Rejected
M,Y,N,0.05217391304347826,Working,Secondary / secondary special,Married,House / apartment,-0.4356005119458762,1.0,Rejected
F,N,Y,-0.2956521739130435,Working,Secondary / secondary special,Married,House / apartment,-0.4334034328494885,0.0,Rejected
F,N,Y,-0.2956521739130435,Working,Secondary / secondary special,Married,House / apartment,-0.4334034328494885,0.0,Rejected
M,Y,Y,-0.6,Working,Secondary / secondary special,Married,House / apartment,-0.4537882528100128,0.0,Rejected
M,Y,Y,-0.6,Working,Secondary / secondary special,Married,House / apartment,-0.4537882528100128,0.0,Rejected
M,Y,Y,0.5739130434782609,Working,Secondary / secondary special,Married,House / apartment,-0.4537882528100128,0.0,Rejected
F,Y,Y,0.5739130434782609,Commercial associate,Secondary / secondary special,Married,House / apartment,-0.44494173565369677,0.0,Rejected
M,N,N,0.5739130434782609,Working,Secondary / secondary special,Married,House / apartment,-0.43990736898250377,1.0,Rejected
M,N,N,0.1391304347826087,Working,Secondary / secondary special,Married,House / apartment,-0.43990736898250377,-1.0,Rejected
F,N,N,-0.0782608695652174,Working,Secondary / secondary special,Married,House / apartment,-0.49018555982732287,2.0,Rejected
F,N,N,-0.0782608695652174,Working,Secondary / secondary special,Single / not married,House / apartment,-0.49018555982732287,2.0,Rejected
F,N,Y,0.1391304347826087,Pensioner,Higher education,Separated,House / apartment,2.227877736065395,-1.0,Rejected
F,N,Y,0.1391304347826087,Pensioner,Higher education,Separated,House / apartment,2.227877736065395,-1.0,Rejected
M,N,Y,-0.6434782608695652,Pensioner,Higher education,Separated,House / apartment,2.227877736065395,-1.0,Rejected
F,N,Y,0.3167772772553754,Pensioner,Higher education,Separated,House / apartment,2.227877736065395,-1.0,Rejected
M,N,N,-0.6434782608695652,Working,Secondary / secondary special,Single / not married,Municipal apartment,-0.4329960274541318,-1.0,Rejected
M,N,N,-0.6434782608695652,Working,Secondary / secondary special,Single / not married,Municipal apartment,-0.4329960274541318,-1.0,Rejected
M,N,N,2.1826086956521737,Working,Secondary / secondary special,Single / not married,Municipal apartment,-0.4329960274541318,-1.0,Rejected
M,N,Y,2.1826086956521737,Pensioner,Higher education,Married,House / apartment,2.227877736065395,0.0,Rejected
M,N,Y,2.1826086956521737,Pensioner,Lower secondary,Married,House / apartment,2.227877736065395,0.0,Rejected
F,N,Y,-0.9695652173913043,Pensioner,Secondary / secondary special,Married,Municipal apartment,2.227877736065395,0.0,Rejected
F,N,Y,-0.8956521739130435,Commercial associate,Higher education,Married,House / apartment,-0.4407003544841801,1.0,Rejected
M,N,N,0.5739130434782609,Working,Secondary / secondary special,Single / not married,House / apartment,-0.430296966709894,0.0,Rejected
M,N,Y,-0.9478260869565217,Working,Secondary / secondary special,Single / not married,House / apartment,-0.430296966709894,0.0,Rejected
F,Y,Y,0.1391304347826087,Working,Higher education,Married,House / apartment,-0.4582115113881708,0.0,Rejected
F,N,N,0.20070051866752187,Commercial associate,Secondary / secondary special,Married,House / apartment,-0.44072217977321704,0.0,Rejected
F,Y,N,0.3565217391304348,Working,Higher education,Married,Rented apartment,-0.4502380057933333,1.0,Rejected
F,Y,Y,-0.0782608695652174,Working,Higher education,Separated,House / apartment,-0.4303187919989309,0.0,Rejected
F,Y,N,0.3565217391304348,Commercial associate,Secondary / secondary special,Married,House / apartment,-0.4480409266969456,0.0,Rejected
F,Y,Y,1.008695652173913,Commercial associate,Higher education,Married,House / apartment,-0.44184254461044786,0.0,Rejected
F,Y,Y,-0.2956521739130435,Commercial associate,Higher education,Single / not married,House / apartment,-0.44184254461044786,0.0,Rejected
M,N,Y,0.2320826309823562,Working,Secondary / secondary special,Married,House / apartment,-0.4389616064575686,0.0,Rejected
F,N,N,0.8782608695652174,Commercial associate,Secondary / secondary special,Married,House / apartment,-0.4655811839863189,2.0,Rejected
F,N,Y,0.8782608695652174,Working,Incomplete higher,Separated,House / apartment,-0.4547340153349479,1.0,Rejected
F,N,Y,-0.0782608695652174,Working,Incomplete higher,Separated,House / apartment,-0.4547340153349479,1.0,Rejected
M,Y,N,0.5739130434782609,Working,Secondary / secondary special,Married,With parents,-0.43944176281638186,0.0,Rejected
M,Y,N,0.1391304347826087,Working,Secondary / secondary special,Married,With parents,-0.43944176281638186,0.0,Rejected
M,Y,N,0.1391304347826087,Working,Secondary / secondary special,Married,With parents,-0.43944176281638186,0.0,Rejected
M,Y,Y,0.3565217391304348,Commercial associate,Higher education,Married,House / apartment,-0.4385032753877923,0.0,Rejected
F,Y,N,0.3565217391304348,Working,Higher education,Married,House / apartment,-0.44771354736139113,0.0,Rejected
M,N,Y,0.3565217391304348,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-0.4446143563181422,1.0,Rejected
F,N,Y,1.4434782608695653,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-0.43555686136780225,0.0,Rejected
M,Y,Y,0.5739130434782609,Working,Secondary / secondary special,Married,House / apartment,-0.4308789744175463,0.0,Rejected
M,Y,Y,-0.3826086956521739,Working,Secondary / secondary special,Married,House / apartment,-0.4308789744175463,0.0,Rejected
F,N,N,-0.2956521739130435,Pensioner,Secondary / secondary special,Married,House / apartment,2.227877736065395,0.0,Rejected
M,N,N,-0.2956521739130435,State servant,Secondary / secondary special,Married,Municipal apartment,-0.479251090019804,1.0,Rejected
F,N,N,0.7913043478260869,Working,Secondary / secondary special,Widow,Co-op apartment,-0.4335489347764016,-1.0,Rejected
F,N,N,-0.6,Working,Secondary / secondary special,Widow,Co-op apartment,-0.4335489347764016,-1.0,Rejected
F,N,Y,-0.7739130434782608,Working,Lower secondary,Widow,House / apartment,-0.44550191807231215,-1.0,Rejected
F,N,Y,-0.2956521739130435,Working,Secondary / secondary special,Married,House / apartment,-0.48867233978742675,0.0,Rejected
M,Y,N,-0.2956521739130435,Working,Secondary / secondary special,Single / not married,House / apartment,-0.43375991257042557,-1.0,Rejected
M,N,Y,0.1391304347826087,Pensioner,Secondary / secondary special,Widow,House / apartment,2.227877736065395,-1.0,Rejected
M,Y,N,-0.4260869565217391,Commercial associate,Higher education,Single / not married,Municipal apartment,-0.433708986896006,-1.0,Rejected
F,N,Y,0.1391304347826087,Commercial associate,Secondary / secondary special,Married,House / apartment,-0.479818547534765,0.0,Rejected
M,N,N,0.5739130434782609,Working,Secondary / secondary special,Widow,Municipal apartment,-0.4318174618461358,-1.0,Rejected
F,N,N,0.3167772772553754,Pensioner,Secondary / secondary special,Widow,House / apartment,2.227877736065395,-1.0,Rejected
F,Y,N,-0.2956521739130435,Pensioner,Secondary / secondary special,Married,House / apartment,2.227877736065395,0.0,Rejected
M,N,N,0.5739130434782609,Working,Incomplete higher,Married,Rented apartment,-0.4424536527034828,1.0,Rejected
M,N,N,-0.9478260869565217,Working,Incomplete higher,Married,Rented apartment,-0.4424536527034828,1.0,Rejected
F,N,Y,-0.2956521739130435,Working,Secondary / secondary special,Married,House / apartment,-0.45418110801267814,0.0,Rejected
F,N,Y,-0.3391304347826087,Working,Secondary / secondary special,Married,House / apartment,-0.45418110801267814,0.0,Rejected
F,N,Y,-0.3391304347826087,Working,Secondary / secondary special,Married,House / apartment,-0.45418110801267814,0.0,Rejected
F,N,Y,0.3565217391304348,Working,Secondary / secondary special,Married,House / apartment,-0.45418110801267814,0.0,Rejected
F,N,Y,0.3565217391304348,Working,Secondary / secondary special,Single / not married,House / apartment,-0.45418110801267814,0.0,Rejected
M,Y,Y,0.3565217391304348,Working,Higher education,Single / not married,House / apartment,-0.43557868665683924,-1.0,Rejected
M,Y,Y,0.3565217391304348,Working,Higher education,Single / not married,House / apartment,-0.43557868665683924,-1.0,Rejected
F,N,Y,0.3565217391304348,Commercial associate,Secondary / secondary special,Married,House / apartment,-0.483230567720877,4.0,Rejected
F,N,Y,-0.3826086956521739,Pensioner,Secondary / secondary special,Married,House / apartment,2.227877736065395,0.0,Rejected
F,N,Y,-0.3826086956521739,Pensioner,Secondary / secondary special,Married,House / apartment,2.227877736065395,0.0,Rejected
F,N,Y,0.1391304347826087,Pensioner,Secondary / secondary special,Married,House / apartment,2.227877736065395,0.0,Rejected
F,N,Y,0.1391304347826087,Pensioner,Secondary / secondary special,Married,House / apartment,2.227877736065395,0.0,Rejected
M,Y,Y,0.1391304347826087,Pensioner,Secondary / secondary special,Married,House / apartment,-0.4842490812092687,0.0,Rejected
F,N,Y,0.1391304347826087,Commercial associate,Secondary / secondary special,Married,House / apartment,-0.45789868224530766,1.0,Rejected
F,N,N,0.3167772772553754,Pensioner,Secondary / secondary special,Separated,House / apartment,2.227877736065395,-1.0,Rejected
F,N,N,0.4434782608695652,Pensioner,Secondary / secondary special,Widow,House / apartment,2.227877736065395,-1.0,Rejected
F,N,N,-0.0782608695652174,Pensioner,Secondary / secondary special,Married,Municipal apartment,2.227877736065395,0.0,Rejected
F,N,N,-0.8173913043478261,Pensioner,Secondary / secondary special,Married,Municipal apartment,2.227877736065395,0.0,Rejected
F,N,N,-0.8173913043478261,Pensioner,Secondary / secondary special,Married,Municipal apartment,2.227877736065395,0.0,Rejected
F,N,N,-0.5130434782608696,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,2.227877736065395,0.0,Rejected
M,N,N,-0.5130434782608696,Pensioner,Secondary / secondary special,Married,Municipal apartment,2.227877736065395,0.0,Rejected
F,N,Y,-0.5130434782608696,Working,Secondary / secondary special,Married,House / apartment,-0.4368591036136744,0.0,Rejected
F,N,N,-0.5130434782608696,Working,Secondary / secondary special,Separated,House / apartment,-0.430275141420857,0.0,Rejected
F,N,Y,-0.5130434782608696,Pensioner,Secondary / secondary special,Married,House / apartment,2.227877736065395,0.0,Rejected
F,Y,Y,-0.9043478260869565,Working,Lower secondary,Married,House / apartment,-0.43382538843753643,0.0,Rejected
F,Y,Y,0.3565217391304348,Working,Lower secondary,Married,House / apartment,-0.43382538843753643,0.0,Rejected
M,N,Y,-0.16521739130434782,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,-0.4409040571818584,-1.0,Rejected
M,Y,N,-0.2956521739130435,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-0.4411295851685737,1.0,Rejected
F,N,Y,-0.2956521739130435,Commercial associate,Lower secondary,Civil marriage,With parents,-0.44289015848422214,2.0,Rejected
M,N,Y,1.008695652173913,Commercial associate,Higher education,Married,House / apartment,-0.4333379569823776,0.0,Rejected
M,N,Y,-0.2956521739130435,Commercial associate,Higher education,Married,House / apartment,-0.4333379569823776,0.0,Rejected
M,N,Y,-0.2956521739130435,Commercial associate,Higher education,Married,House / apartment,-0.4333379569823776,0.0,Rejected
F,N,Y,0.2619260849759659,State servant,Higher education,Single / not married,Municipal apartment,-0.443377589939381,-1.0,Rejected
F,N,Y,-0.5130434782608696,State servant,Higher education,Single / not married,Municipal apartment,-0.443377589939381,-1.0,Rejected
M,Y,Y,-0.5130434782608696,Working,Secondary / secondary special,Married,House / apartment,-0.4360733932083437,0.0,Rejected
F,N,Y,-0.5130434782608696,Commercial associate,Higher education,Single / not married,House / apartment,-0.43584786522162844,0.0,Rejected
F,N,Y,-0.2956521739130435,Commercial associate,Higher education,Single / not married,House / apartment,-0.43584786522162844,0.0,Rejected
M,Y,Y,-0.2956521739130435,Commercial associate,Higher education,Married,House / apartment,-0.46061956827858247,2.0,Rejected
M,Y,Y,0.29130434782608694,Commercial associate,Higher education,Married,House / apartment,-0.46061956827858247,2.0,Rejected
M,Y,Y,0.2320826309823562,Working,Secondary / secondary special,Married,House / apartment,-0.43602974263026983,1.0,Rejected
F,N,N,2.747826086956522,Commercial associate,Higher education,Separated,House / apartment,-0.432930551587021,-1.0,Rejected
F,N,Y,2.747826086956522,Commercial associate,Higher education,Separated,House / apartment,-0.432930551587021,-1.0,Rejected
F,N,Y,-0.5130434782608696,Commercial associate,Higher education,Separated,House / apartment,-0.432930551587021,-1.0,Rejected
M,N,N,-0.5130434782608696,Working,Secondary / secondary special,Married,Municipal apartment,-0.4468914614743322,1.0,Rejected
F,N,Y,-0.9478260869565217,Pensioner,Higher education,Married,House / apartment,2.227877736065395,0.0,Rejected
F,N,Y,-0.9478260869565217,Pensioner,Secondary / secondary special,Married,House / apartment,2.227877736065395,0.0,Rejected
M,Y,Y,-0.9478260869565217,Working,Secondary / secondary special,Single / not married,House / apartment,-0.430675271719868,-1.0,Rejected
F,N,Y,0.48695652173913045,Working,Secondary / secondary special,Married,House / apartment,-0.43753568757382033,1.0,Rejected
F,N,Y,1.3565217391304347,Working,Secondary / secondary special,Married,House / apartment,-0.442177199042348,0.0,Rejected
F,N,Y,-0.7304347826086957,Working,Secondary / secondary special,Widow,House / apartment,-0.4359860920521959,-1.0,Rejected
M,Y,N,0.5739130434782609,Working,Secondary / secondary special,Married,Office apartment,-0.4371646576601919,0.0,Rejected
M,Y,N,-0.5565217391304348,Working,Secondary / secondary special,Married,Office apartment,-0.4371646576601919,0.0,Rejected
M,Y,N,-0.2956521739130435,Working,Higher education,Married,House / apartment,-0.4329523768760579,1.0,Rejected
M,Y,N,-0.2956521739130435,Working,Higher education,Married,House / apartment,-0.4329523768760579,1.0,Rejected
M,Y,Y,-0.5565217391304348,Working,Secondary / secondary special,Married,House / apartment,-0.4469060116670235,0.0,Rejected
F,N,Y,-0.5565217391304348,Commercial associate,Higher education,Married,House / apartment,-0.43893978116853166,0.0,Rejected
F,N,Y,2.747826086956522,Pensioner,Higher education,Married,House / apartment,-0.43893978116853166,0.0,Rejected
F,N,Y,2.747826086956522,Working,Secondary / secondary special,Married,Municipal apartment,-0.4756208169433223,1.0,Approved
M,Y,N,0.20070051866752187,Commercial associate,Secondary / secondary special,Married,House / apartment,-0.4473716178331454,0.0,Approved
F,N,Y,1.4434782608695653,Commercial associate,Higher education,Civil marriage,House / apartment,-0.43178108636440754,0.0,Approved
F,N,Y,-0.0782608695652174,State servant,Secondary / secondary special,Married,House / apartment,-0.4978462362792972,0.0,Approved
F,N,N,-0.0782608695652174,Working,Secondary / secondary special,Married,House / apartment,-0.4515184227501685,1.0,Approved
F,N,Y,-0.8173913043478261,Commercial associate,Secondary / secondary special,Married,House / apartment,-0.4510309912950097,1.0,Approved
F,N,Y,0.5739130434782609,Working,Secondary / secondary special,Married,House / apartment,-0.4447816835340923,0.0,Approved
F,N,Y,0.1391304347826087,Pensioner,Secondary / secondary special,Single / not married,House / apartment,2.227877736065395,-1.0,Approved
F,N,Y,-0.2956521739130435,Working,Higher education,Married,House / apartment,-0.4352658575139761,0.0,Approved
F,N,Y,-0.2956521739130435,Pensioner,Secondary / secondary special,Married,House / apartment,2.227877736065395,0.0,Approved
F,Y,Y,-0.991304347826087,Working,Secondary / secondary special,Married,House / apartment,-0.4303260670952766,1.0,Approved
F,N,Y,-0.2956521739130435,Pensioner,Secondary / secondary special,Married,House / apartment,2.227877736065395,0.0,Approved
M,N,Y,-0.5130434782608696,Working,Lower secondary,Married,House / apartment,-0.44160974152738697,1.0,Approved
M,Y,Y,-0.5130434782608696,Commercial associate,Higher education,Married,House / apartment,-0.4414787897931651,0.0,Approved
F,N,Y,-1.1652173913043478,Working,Secondary / secondary special,Single / not married,House / apartment,-0.43434192027807794,-1.0,Approved
F,N,Y,0.20070051866752187,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-0.43342525813852545,-1.0,Approved
F,N,N,0.3565217391304348,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-0.43573873877644365,-1.0,Approved
F,N,Y,0.1391304347826087,Pensioner,Secondary / secondary special,Married,House / apartment,2.227877736065395,0.0,Approved
M,N,Y,0.3167772772553754,Pensioner,Secondary / secondary special,Married,Rented apartment,2.227877736065395,0.0,Approved
F,N,N,0.8782608695652174,Pensioner,Secondary / secondary special,Married,House / apartment,2.227877736065395,0.0,Approved
F,N,Y,-0.7304347826086957,Working,Academic degree,Single / not married,House / apartment,-0.44944502029165695,0.0,Approved
M,Y,Y,0.1391304347826087,Working,Secondary / secondary special,Married,House / apartment,-0.440554852557267,0.0,Approved
M,Y,Y,-0.7304347826086957,Pensioner,Secondary / secondary special,Married,House / apartment,2.227877736065395,0.0,Approved
M,N,N,-0.2956521739130435,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,-0.4524278097933753,0.0,Approved
F,N,Y,-0.3826086956521739,Pensioner,Secondary / secondary special,Widow,House / apartment,2.227877736065395,-1.0,Approved
F,N,Y,-0.3826086956521739,Working,Secondary / secondary special,Married,With parents,-0.46715987989332597,0.0,Approved
F,N,Y,1.6608695652173913,Working,Lower secondary,Widow,House / apartment,-0.4516493744843903,0.0,Approved
F,N,Y,-0.7304347826086957,Working,Secondary / secondary special,Married,House / apartment,-0.43162830934114876,2.0,Approved
M,N,Y,-0.33043478260869563,Commercial associate,Higher education,Separated,House / apartment,-0.44726249138796054,-1.0,Approved
M,Y,Y,0.1391304347826087,Working,Secondary / secondary special,Married,House / apartment,-0.43354165968005587,0.0,Approved
M,Y,N,0.7913043478260869,Working,Secondary / secondary special,Married,House / apartment,-0.43536770886281523,0.0,Approved
F,Y,N,-0.4260869565217391,Commercial associate,Secondary / secondary special,Married,House / apartment,-0.4371937580455746,0.0,Approved
F,Y,N,-0.46956521739130436,Commercial associate,Incomplete higher,Married,House / apartment,-0.4394781382981101,2.0,Approved
F,N,N,-0.7304347826086957,Working,Secondary / secondary special,Married,House / apartment,-0.4824812327972746,0.0,Approved
M,N,Y,2.7043478260869565,Working,Secondary / secondary special,Married,House / apartment,-0.4420171469227436,1.0,Approved
F,Y,Y,-0.0782608695652174,Commercial associate,Higher education,Single / not married,House / apartment,-0.4473352423514171,0.0,Approved
M,Y,Y,-0.5130434782608696,State servant,Secondary / secondary special,Married,Municipal apartment,-0.4356659878129871,0.0,Approved
F,N,Y,0.1391304347826087,Working,Secondary / secondary special,Married,House / apartment,-0.4497069237601005,2.0,Approved
M,Y,Y,-0.0782608695652174,Working,Higher education,Married,House / apartment,-0.4473206921587258,2.0,Approved
F,N,Y,-0.46956521739130436,Commercial associate,Secondary / secondary special,Married,House / apartment,-0.4400455958130711,0.0,Approved
F,N,Y,0.6608695652173913,Working,Higher education,Single / not married,House / apartment,-0.44226450019849584,0.0,Approved
F,N,Y,0.7913043478260869,Pensioner,Higher education,Married,House / apartment,2.227877736065395,0.0,Approved
M,Y,N,-0.20869565217391303,Working,Secondary / secondary special,Married,Municipal apartment,-0.43960181493598627,0.0,Approved
F,N,N,0.1391304347826087,Pensioner,Higher education,Separated,House / apartment,2.227877736065395,-1.0,Approved
M,N,N,0.2320826309823562,Working,Incomplete higher,Married,House / apartment,-0.4312136288494464,2.0,Approved
M,Y,N,0.48695652173913045,Commercial associate,Higher education,Separated,House / apartment,-0.44638947982648197,-1.0,Approved
F,N,Y,-0.7304347826086957,Pensioner,Higher education,Married,House / apartment,2.227877736065395,0.0,Approved
M,Y,Y,0.05217391304347826,Working,Higher education,Married,House / apartment,-0.43229761820494894,0.0,Approved
F,N,N,0.1391304347826087,Working,Secondary / secondary special,Married,House / apartment,-0.4807206594816262,2.0,Approved
F,Y,Y,0.5739130434782609,Working,Secondary / secondary special,Married,House / apartment,-0.4423008756802241,0.0,Approved
F,Y,N,0.5739130434782609,Working,Secondary / secondary special,Widow,House / apartment,-0.43908528309544476,-1.0,Approved
F,Y,Y,1.008695652173913,Working,Higher education,Married,House / apartment,-0.45634181162733756,0.0,Approved
F,N,N,-0.9521739130434783,Working,Secondary / secondary special,Married,House / apartment,-0.43692457948078534,0.0,Approved
F,Y,N,1.008695652173913,State servant,Higher education,Married,House / apartment,-0.44870296046440017,1.0,Approved
M,Y,Y,-0.8913043478260869,Commercial associate,Secondary / secondary special,Married,House / apartment,-0.4482591795873152,0.0,Approved
M,Y,Y,-0.5130434782608696,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,-0.4448326092085119,-1.0,Approved
F,Y,Y,-0.20869565217391303,Commercial associate,Higher education,Single / not married,House / apartment,-0.4473352423514171,0.0,Approved
F,N,Y,0.5739130434782609,Working,Secondary / secondary special,Separated,House / apartment,-0.4404602763047735,-1.0,Approved
F,N,Y,-0.5130434782608696,Working,Secondary / secondary special,Married,House / apartment,-0.44771354736139113,0.0,Approved
F,Y,Y,1.2260869565217392,Working,Higher education,Married,House / apartment,-0.44611302616534715,1.0,Approved
F,N,N,-0.2956521739130435,Commercial associate,Secondary / secondary special,Married,House / apartment,-0.43892523097584035,2.0,Approved
M,Y,N,-0.0782608695652174,Working,Secondary / secondary special,Married,House / apartment,-0.4661195411158974,0.0,Approved
F,Y,Y,-0.0782608695652174,Working,Secondary / secondary special,Separated,House / apartment,-0.43602974263026983,-1.0,Approved
M,N,Y,-0.0782608695652174,Working,Secondary / secondary special,Married,House / apartment,-0.46210368793309603,1.0,Approved
F,N,Y,-0.2956521739130435,Commercial associate,Higher education,Civil marriage,House / apartment,-0.44059122803899525,0.0,Approved
M,Y,Y,-0.5130434782608696,Working,Higher education,Married,House / apartment,-0.4407149046768714,0.0,Approved
M,Y,N,0.3565217391304348,Pensioner,Higher education,Married,House / apartment,2.227877736065395,0.0,Approved
M,N,Y,0.26956521739130435,Working,Secondary / secondary special,Married,House / apartment,-0.4415151652748934,1.0,Approved
F,N,N,0.2619260849759659,State servant,Secondary / secondary special,Married,House / apartment,-0.49247721517620413,0.0,Approved
F,Y,Y,-0.5565217391304348,Commercial associate,Higher education,Married,House / apartment,-0.4754025640529526,2.0,Approved
F,N,Y,1.2260869565217392,Working,Secondary / secondary special,Single / not married,House / apartment,-0.4381904462449292,-1.0,Approved
M,Y,N,1.008695652173913,Working,Secondary / secondary special,Single / not married,With parents,-0.43316335467008193,-1.0,Approved
F,N,Y,1.008695652173913,Pensioner,Secondary / secondary special,Married,House / apartment,2.227877736065395,0.0,Approved
F,N,N,1.2260869565217392,State servant,Secondary / secondary special,Single / not married,House / apartment,-0.48452553487040356,0.0,Approved
