GENDER,Car_Owner,Propert_Owner,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Employed_days,Family_Members,target
F,N,Y,270000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,365243,1,Rejected
F,N,Y,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,365243,1,Rejected
F,N,Y,225000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-2269,3,Rejected
F,N,Y,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-2269,3,Rejected
F,N,Y,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-4114,3,Rejected
M,Y,N,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1161,3,Rejected
M,Y,N,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1161,3,Rejected
M,N,N,180000.0,Working,Secondary / secondary special,Married,House / apartment,-7288,2,Rejected
M,N,N,180000.0,Working,Secondary / secondary special,Married,House / apartment,-7288,2,Rejected
M,N,N,157500.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-166,1,Rejected
M,Y,N,157500.0,Working,Secondary / secondary special,Married,House / apartment,-866,3,Rejected
M,Y,N,171000.0,Working,Secondary / secondary special,Married,House / apartment,-866,3,Rejected
F,N,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,-564,2,Rejected
F,N,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,-564,2,Rejected
M,Y,Y,103500.0,Working,Secondary / secondary special,Married,House / apartment,-3366,2,Rejected
M,Y,Y,103500.0,Working,Secondary / secondary special,Married,House / apartment,-3366,2,Rejected
M,Y,Y,225000.0,Working,Secondary / secondary special,Married,House / apartment,-3366,2,Rejected
F,Y,Y,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-2150,2,Rejected
M,N,N,225000.0,Working,Secondary / secondary special,Married,House / apartment,-1458,3,Rejected
M,N,N,180000.0,Working,Secondary / secondary special,Married,House / apartment,-1458,1,Rejected
F,N,N,157500.0,Working,Secondary / secondary special,Married,House / apartment,-8369,4,Rejected
F,N,N,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-8369,4,Rejected
F,N,Y,180000.0,Pensioner,Higher education,Separated,House / apartment,365243,1,Rejected
F,N,Y,180000.0,Pensioner,Higher education,Separated,House / apartment,365243,1,Rejected
M,N,Y,99000.0,Pensioner,Higher education,Separated,House / apartment,365243,1,Rejected
F,N,Y,198386.44819593136,Pensioner,Higher education,Separated,House / apartment,365243,1,Rejected
M,N,N,99000.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-508,1,Rejected
M,N,N,99000.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-508,1,Rejected
M,N,N,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-508,1,Rejected
M,N,Y,391500.0,Pensioner,Higher education,Married,House / apartment,365243,2,Rejected
M,N,Y,391500.0,Pensioner,Lower secondary,Married,House / apartment,365243,2,Rejected
F,N,Y,65250.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,365243,2,Rejected
F,N,Y,72900.0,Commercial associate,Higher education,Married,House / apartment,-1567,3,Rejected
M,N,N,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-137,2,Rejected
M,N,Y,67500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-137,2,Rejected
F,Y,Y,180000.0,Working,Higher education,Married,House / apartment,-3974,2,Rejected
F,N,N,186372.5036820885,Commercial associate,Secondary / secondary special,Married,House / apartment,-1570,2,Rejected
F,Y,N,202500.0,Working,Higher education,Married,Rented apartment,-2878,3,Rejected
F,Y,Y,157500.0,Working,Higher education,Separated,House / apartment,-140,2,Rejected
F,Y,N,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-2576,2,Rejected
F,Y,Y,270000.0,Commercial associate,Higher education,Married,House / apartment,-1724,2,Rejected
F,Y,Y,135000.0,Commercial associate,Higher education,Single / not married,House / apartment,-1724,2,Rejected
M,N,Y,189620.55230667387,Working,Secondary / secondary special,Married,House / apartment,-1328,2,Rejected
F,N,N,256500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-4987,4,Rejected
F,N,Y,256500.0,Working,Incomplete higher,Separated,House / apartment,-3496,3,Rejected
F,N,Y,157500.0,Working,Incomplete higher,Separated,House / apartment,-3496,3,Rejected
M,Y,N,225000.0,Working,Secondary / secondary special,Married,With parents,-1394,2,Rejected
M,Y,N,180000.0,Working,Secondary / secondary special,Married,With parents,-1394,2,Rejected
M,Y,N,180000.0,Working,Secondary / secondary special,Married,With parents,-1394,2,Rejected
M,Y,Y,202500.0,Commercial associate,Higher education,Married,House / apartment,-1265,2,Rejected
F,Y,N,202500.0,Working,Higher education,Married,House / apartment,-2531,2,Rejected
M,N,Y,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-2105,3,Rejected
F,N,Y,315000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-860,2,Rejected
M,Y,Y,225000.0,Working,Secondary / secondary special,Married,House / apartment,-217,2,Rejected
M,Y,Y,126000.0,Working,Secondary / secondary special,Married,House / apartment,-217,2,Rejected
F,N,N,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,2,Rejected
M,N,N,135000.0,State servant,Secondary / secondary special,Married,Municipal apartment,-6866,3,Rejected
F,N,N,247500.0,Working,Secondary / secondary special,Widow,Co-op apartment,-584,1,Rejected
F,N,N,103500.0,Working,Secondary / secondary special,Widow,Co-op apartment,-584,1,Rejected
F,N,Y,85500.0,Working,Lower secondary,Widow,House / apartment,-2227,1,Rejected
F,N,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,-8161,2,Rejected
M,Y,N,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-613,1,Rejected
M,N,Y,180000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,365243,1,Rejected
M,Y,N,121500.0,Commercial associate,Higher education,Single / not married,Municipal apartment,-606,1,Rejected
F,N,Y,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-6944,2,Rejected
M,N,N,225000.0,Working,Secondary / secondary special,Widow,Municipal apartment,-346,1,Rejected
F,N,N,198386.44819593136,Pensioner,Secondary / secondary special,Widow,House / apartment,365243,1,Rejected
F,Y,N,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,2,Rejected
M,N,N,225000.0,Working,Incomplete higher,Married,Rented apartment,-1808,3,Rejected
M,N,N,67500.0,Working,Incomplete higher,Married,Rented apartment,-1808,3,Rejected
F,N,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,-3420,2,Rejected
F,N,Y,130500.0,Working,Secondary / secondary special,Married,House / apartment,-3420,2,Rejected
F,N,Y,130500.0,Working,Secondary / secondary special,Married,House / apartment,-3420,2,Rejected
F,N,Y,202500.0,Working,Secondary / secondary special,Married,House / apartment,-3420,2,Rejected
F,N,Y,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-3420,2,Rejected
M,Y,Y,202500.0,Working,Higher education,Single / not married,House / apartment,-863,1,Rejected
M,Y,Y,202500.0,Working,Higher education,Single / not married,House / apartment,-863,1,Rejected
F,N,Y,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-7413,6,Rejected
F,N,Y,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,2,Rejected
F,N,Y,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,2,Rejected
F,N,Y,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,2,Rejected
F,N,Y,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,2,Rejected
M,Y,Y,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-7553,2,Rejected
F,N,Y,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-3931,3,Rejected
F,N,N,198386.44819593136,Pensioner,Secondary / secondary special,Separated,House / apartment,365243,1,Rejected
F,N,N,211500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,365243,1,Rejected
F,N,N,157500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,365243,2,Rejected
F,N,N,81000.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,365243,2,Rejected
F,N,N,81000.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,365243,2,Rejected
F,N,N,112500.0,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,365243,2,Rejected
M,N,N,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,365243,2,Rejected
F,N,Y,112500.0,Working,Secondary / secondary special,Married,House / apartment,-1039,2,Rejected
F,N,N,112500.0,Working,Secondary / secondary special,Separated,House / apartment,-134,2,Rejected
F,N,Y,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,2,Rejected
F,Y,Y,72000.0,Working,Lower secondary,Married,House / apartment,-622,2,Rejected
F,Y,Y,202500.0,Working,Lower secondary,Married,House / apartment,-622,2,Rejected
M,N,Y,148500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,-1595,1,Rejected
M,Y,N,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-1626,3,Rejected
F,N,Y,135000.0,Commercial associate,Lower secondary,Civil marriage,With parents,-1868,4,Rejected
M,N,Y,270000.0,Commercial associate,Higher education,Married,House / apartment,-555,2,Rejected
M,N,Y,135000.0,Commercial associate,Higher education,Married,House / apartment,-555,2,Rejected
M,N,Y,135000.0,Commercial associate,Higher education,Married,House / apartment,-555,2,Rejected
F,N,Y,192709.34979501247,State servant,Higher education,Single / not married,Municipal apartment,-1935,1,Rejected
F,N,Y,112500.0,State servant,Higher education,Single / not married,Municipal apartment,-1935,1,Rejected
M,Y,Y,112500.0,Working,Secondary / secondary special,Married,House / apartment,-931,2,Rejected
F,N,Y,112500.0,Commercial associate,Higher education,Single / not married,House / apartment,-900,2,Rejected
F,N,Y,135000.0,Commercial associate,Higher education,Single / not married,House / apartment,-900,2,Rejected
M,Y,Y,135000.0,Commercial associate,Higher education,Married,House / apartment,-4305,4,Rejected
M,Y,Y,195750.0,Commercial associate,Higher education,Married,House / apartment,-4305,4,Rejected
M,Y,Y,189620.55230667387,Working,Secondary / secondary special,Married,House / apartment,-925,3,Rejected
F,N,N,450000.0,Commercial associate,Higher education,Separated,House / apartment,-499,1,Rejected
F,N,Y,450000.0,Commercial associate,Higher education,Separated,House / apartment,-499,1,Rejected
F,N,Y,112500.0,Commercial associate,Higher education,Separated,House / apartment,-499,1,Rejected
M,N,N,112500.0,Working,Secondary / secondary special,Married,Municipal apartment,-2418,3,Rejected
F,N,Y,67500.0,Pensioner,Higher education,Married,House / apartment,365243,2,Rejected
F,N,Y,67500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,2,Rejected
M,Y,Y,67500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-189,1,Rejected
F,N,Y,216000.0,Working,Secondary / secondary special,Married,House / apartment,-1132,3,Rejected
F,N,Y,306000.0,Working,Secondary / secondary special,Married,House / apartment,-1770,2,Rejected
F,N,Y,90000.0,Working,Secondary / secondary special,Widow,House / apartment,-919,1,Rejected
M,Y,N,225000.0,Working,Secondary / secondary special,Married,Office apartment,-1081,2,Rejected
M,Y,N,108000.0,Working,Secondary / secondary special,Married,Office apartment,-1081,2,Rejected
M,Y,N,135000.0,Working,Higher education,Married,House / apartment,-502,3,Rejected
M,Y,N,135000.0,Working,Higher education,Married,House / apartment,-502,3,Rejected
M,Y,Y,108000.0,Working,Secondary / secondary special,Married,House / apartment,-2420,2,Rejected
F,N,Y,108000.0,Commercial associate,Higher education,Married,House / apartment,-1325,2,Rejected
F,N,Y,450000.0,Pensioner,Higher education,Married,House / apartment,-1325,2,Rejected
F,N,Y,450000.0,Working,Secondary / secondary special,Married,Municipal apartment,-6367,3,Approved
M,Y,N,186372.5036820885,Commercial associate,Secondary / secondary special,Married,House / apartment,-2484,2,Approved
F,N,Y,315000.0,Commercial associate,Higher education,Civil marriage,House / apartment,-341,2,Approved
F,N,Y,157500.0,State servant,Secondary / secondary special,Married,House / apartment,-9422,2,Approved
F,N,N,157500.0,Working,Secondary / secondary special,Married,House / apartment,-3054,3,Approved
F,N,Y,81000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-2987,3,Approved
F,N,Y,225000.0,Working,Secondary / secondary special,Married,House / apartment,-2128,2,Approved
F,N,Y,180000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,365243,1,Approved
F,N,Y,135000.0,Working,Higher education,Married,House / apartment,-820,2,Approved
F,N,Y,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,2,Approved
F,Y,Y,63000.0,Working,Secondary / secondary special,Married,House / apartment,-141,3,Approved
F,N,Y,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,2,Approved
M,N,Y,112500.0,Working,Lower secondary,Married,House / apartment,-1692,3,Approved
M,Y,Y,112500.0,Commercial associate,Higher education,Married,House / apartment,-1674,2,Approved
F,N,Y,45000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-693,1,Approved
F,N,Y,186372.5036820885,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-567,1,Approved
F,N,N,202500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-885,1,Approved
F,N,Y,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,2,Approved
M,N,Y,198386.44819593136,Pensioner,Secondary / secondary special,Married,Rented apartment,365243,2,Approved
F,N,N,256500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,2,Approved
F,N,Y,90000.0,Working,Academic degree,Single / not married,House / apartment,-2769,2,Approved
M,Y,Y,180000.0,Working,Secondary / secondary special,Married,House / apartment,-1547,2,Approved
M,Y,Y,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,2,Approved
M,N,N,135000.0,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,-3179,2,Approved
F,N,Y,126000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,365243,1,Approved
F,N,Y,126000.0,Working,Secondary / secondary special,Married,With parents,-5204,2,Approved
F,N,Y,337500.0,Working,Lower secondary,Widow,House / apartment,-3072,2,Approved
F,N,Y,90000.0,Working,Secondary / secondary special,Married,House / apartment,-320,4,Approved
M,N,Y,131400.0,Commercial associate,Higher education,Separated,House / apartment,-2469,1,Approved
M,Y,Y,180000.0,Working,Secondary / secondary special,Married,House / apartment,-583,2,Approved
M,Y,N,247500.0,Working,Secondary / secondary special,Married,House / apartment,-834,2,Approved
F,Y,N,121500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1085,2,Approved
F,Y,N,117000.0,Commercial associate,Incomplete higher,Married,House / apartment,-1399,4,Approved
F,N,N,90000.0,Working,Secondary / secondary special,Married,House / apartment,-7310,2,Approved
M,N,Y,445500.0,Working,Secondary / secondary special,Married,House / apartment,-1748,3,Approved
F,Y,Y,157500.0,Commercial associate,Higher education,Single / not married,House / apartment,-2479,2,Approved
M,Y,Y,112500.0,State servant,Secondary / secondary special,Married,Municipal apartment,-875,2,Approved
F,N,Y,180000.0,Working,Secondary / secondary special,Married,House / apartment,-2805,4,Approved
M,Y,Y,157500.0,Working,Higher education,Married,House / apartment,-2477,4,Approved
F,N,Y,117000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1477,2,Approved
F,N,Y,234000.0,Working,Higher education,Single / not married,House / apartment,-1782,2,Approved
F,N,Y,247500.0,Pensioner,Higher education,Married,House / apartment,365243,2,Approved
M,Y,N,144000.0,Working,Secondary / secondary special,Married,Municipal apartment,-1416,2,Approved
F,N,N,180000.0,Pensioner,Higher education,Separated,House / apartment,365243,1,Approved
M,N,N,189620.55230667387,Working,Incomplete higher,Married,House / apartment,-263,4,Approved
M,Y,N,216000.0,Commercial associate,Higher education,Separated,House / apartment,-2349,1,Approved
F,N,Y,90000.0,Pensioner,Higher education,Married,House / apartment,365243,2,Approved
M,Y,Y,171000.0,Working,Higher education,Married,House / apartment,-412,2,Approved
F,N,N,180000.0,Working,Secondary / secondary special,Married,House / apartment,-7068,4,Approved
F,Y,Y,225000.0,Working,Secondary / secondary special,Married,House / apartment,-1787,2,Approved
F,Y,N,225000.0,Working,Secondary / secondary special,Widow,House / apartment,-1345,1,Approved
F,Y,Y,270000.0,Working,Higher education,Married,House / apartment,-3717,2,Approved
F,N,N,67050.0,Working,Secondary / secondary special,Married,House / apartment,-1048,2,Approved
F,Y,N,270000.0,State servant,Higher education,Married,House / apartment,-2667,3,Approved
M,Y,Y,73350.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-2606,2,Approved
M,Y,Y,112500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,-2135,1,Approved
F,Y,Y,144000.0,Commercial associate,Higher education,Single / not married,House / apartment,-2479,2,Approved
F,N,Y,225000.0,Working,Secondary / secondary special,Separated,House / apartment,-1534,1,Approved
F,N,Y,112500.0,Working,Secondary / secondary special,Married,House / apartment,-2531,2,Approved
F,Y,Y,292500.0,Working,Higher education,Married,House / apartment,-2311,3,Approved
F,N,N,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1323,4,Approved
M,Y,N,157500.0,Working,Secondary / secondary special,Married,House / apartment,-5061,2,Approved
F,Y,Y,157500.0,Working,Secondary / secondary special,Separated,House / apartment,-925,1,Approved
M,N,Y,157500.0,Working,Secondary / secondary special,Married,House / apartment,-4509,3,Approved
F,N,Y,135000.0,Commercial associate,Higher education,Civil marriage,House / apartment,-1552,2,Approved
M,Y,Y,112500.0,Working,Higher education,Married,House / apartment,-1569,2,Approved
M,Y,N,202500.0,Pensioner,Higher education,Married,House / apartment,365243,2,Approved
M,N,Y,193500.0,Working,Secondary / secondary special,Married,House / apartment,-1679,3,Approved
F,N,N,192709.34979501247,State servant,Secondary / secondary special,Married,House / apartment,-8684,2,Approved
F,Y,Y,108000.0,Commercial associate,Higher education,Married,House / apartment,-6337,4,Approved
F,N,Y,292500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-1222,1,Approved
M,Y,N,270000.0,Working,Secondary / secondary special,Single / not married,With parents,-531,1,Approved
F,N,Y,270000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,2,Approved
F,N,N,292500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-7591,2,Approved
M,N,Y,292500.0,State servant,Higher education,Married,House / apartment,-5639,4,Approved
F,N,Y,157500.0,Working,Secondary / secondary special,Married,House / apartment,-1776,2,Approved
F,Y,Y,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,2,Approved
F,N,N,157500.0,Working,Secondary / secondary special,Married,House / apartment,-5498,2,Approved
F,Y,N,180000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,365243,1,Approved
M,N,Y,135000.0,Commercial associate,Lower secondary,Married,Rented apartment,-1935,2,Approved
F,Y,N,112500.0,State servant,Secondary / secondary special,Widow,House / apartment,-5880,1,Approved
F,Y,Y,360000.0,Working,Higher education,Married,House / apartment,-460,4,Approved
F,N,Y,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1569,2,Approved
F,N,Y,225000.0,Working,Secondary / secondary special,Married,House / apartment,-4532,2,Approved
M,Y,N,112500.0,Working,Secondary / secondary special,Single / not married,With parents,-3309,1,Approved
F,Y,Y,121500.0,State servant,Secondary / secondary special,Married,House / apartment,-3873,2,Approved
F,N,Y,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,2,Approved
F,N,N,112500.0,Working,Higher education,Married,House / apartment,-344,2,Approved
M,Y,N,135000.0,State servant,Higher education,Married,House / apartment,-1923,2,Approved
F,N,N,103500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-604,3,Approved
M,Y,Y,157500.0,Working,Higher education,Separated,House / apartment,-584,1,Approved
F,N,Y,337500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,2,Approved
F,N,N,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,-1922,3,Approved
F,N,Y,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-1496,3,Approved
F,Y,Y,157500.0,State servant,Higher education,Married,House / apartment,-708,3,Approved
F,N,N,360000.0,State servant,Secondary / secondary special,Separated,House / apartment,-12332,1,Approved
M,N,N,135000.0,Working,Secondary / secondary special,Married,With parents,-622,2,Approved
F,N,N,337500.0,Commercial associate,Higher education,Single / not married,House / apartment,-5209,1,Approved
F,Y,Y,135000.0,Pensioner,Higher education,Widow,House / apartment,365243,1,Approved
F,N,Y,360000.0,Pensioner,Lower secondary,Married,House / apartment,365243,2,Approved
F,N,Y,186372.5036820885,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-6273,1,Approved
M,Y,N,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-2722,2,Approved
F,N,N,270000.0,State servant,Secondary / secondary special,Married,With parents,-9363,2,Approved
F,N,Y,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-746,2,Approved
F,N,N,270000.0,Working,Secondary / secondary special,Single / not married,With parents,-1039,1,Approved
M,Y,N,450000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-1322,1,Approved
F,N,Y,157500.0,Commercial associate,Incomplete higher,Married,House / apartment,-3458,2,Approved
M,N,N,112500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-158,2,Approved
F,Y,Y,292500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-2457,2,Approved
F,N,Y,112500.0,Commercial associate,Incomplete higher,Separated,House / apartment,-2811,3,Approved
F,N,N,247500.0,Working,Higher education,Married,House / apartment,-7018,5,Approved
M,Y,Y,157500.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,-2026,2,Approved
F,N,Y,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-188,2,Approved
F,N,Y,94500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-2967,3,Approved
F,N,N,81000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-3166,2,Approved
F,N,N,180000.0,Working,Secondary / secondary special,Married,House / apartment,-5107,3,Approved
M,Y,N,198000.0,Working,Secondary / secondary special,Married,House / apartment,-1649,2,Approved
F,N,Y,180000.0,Working,Secondary / secondary special,Married,House / apartment,-3694,3,Approved
F,N,Y,315000.0,Commercial associate,Higher education,Civil marriage,House / apartment,-3697,4,Approved
F,Y,Y,67500.0,Working,Secondary / secondary special,Married,House / apartment,-4596,3,Approved
M,N,Y,180000.0,Working,Secondary / secondary special,Married,House / apartment,-1748,3,Approved
M,N,N,202500.0,Working,Secondary / secondary special,Married,Municipal apartment,-5674,4,Approved
F,N,N,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1682,2,Approved
F,N,N,306000.0,Working,Higher education,Married,House / apartment,-196,2,Approved
F,N,N,90000.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,-530,1,Approved
M,Y,Y,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1696,2,Approved
F,Y,Y,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-2168,2,Approved
F,N,N,234000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,365243,1,Approved
F,N,Y,171000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,2,Approved
M,Y,Y,225000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,2,Approved
M,N,N,94500.0,Working,Secondary / secondary special,Married,House / apartment,-1649,2,Approved
F,N,Y,117000.0,State servant,Higher education,Married,House / apartment,-13382,2,Approved
M,N,Y,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-1509,1,Approved
F,N,Y,202500.0,Commercial associate,Higher education,Separated,Rented apartment,-1347,1,Approved
M,N,Y,54000.0,Working,Secondary / secondary special,Married,House / apartment,-1405,2,Approved
F,Y,N,112500.0,Working,Secondary / secondary special,Married,House / apartment,-227,2,Approved
F,N,Y,85500.0,Working,Secondary / secondary special,Widow,House / apartment,-9975,1,Approved
M,N,N,135000.0,Commercial associate,Higher education,Single / not married,House / apartment,-1505,1,Approved
M,Y,N,166500.0,Working,Higher education,Married,House / apartment,-5084,2,Approved
F,Y,N,157500.0,Working,Higher education,Married,House / apartment,-2905,2,Approved
